tickers,ORCL,MSFT,FISV,CDNS,IBM,AAPL,AMAT,TXN,GLW,MSI,HPQ,XRX,SWKS,KLAC,LRCX,MU,INTC,AMD,ADBE,CSCO,XLNX,QCOM,SNPS,INTU,MCHP,FLIR,IT,NTAP,CTXS,ANSS,APH,ADSK,VRSN,CTSH,NVDA,FFIV,JNPR,AKAM,FIS,CRM
SNPS,0.8923691907853512,-0.058873654769553745,0.7801674531080509,0.9395741365251777,0.2479342461104371,0.5437752608563288,-0.02220273956672892,-0.15193008003625552,-0.35422599792858844,0.5760161640096693,-0.6929714898877136,-0.4351953638568172,0.06772649196368466,-0.0444983770637958,-0.5787645476720071,-0.19164199005953075,-0.5676543082521561,-0.6111796581573191,0.5718257530430336,0.1630560945146616,0.23756047770382324,0.48063323832188265,1.0,0.6993069456193963,-0.20071791534570838,-0.3734107715512371,0.8005780180739743,-0.1337603942846446,-0.13881855576952168,0.833709954857274,0.8509566367854224,-0.17443522664037842,0.4286392071071202,0.1950199677254742,-0.1365729602495425,-0.37512422816819463,-0.10852140874296091,0.7403682542050879,0.27809864560953135,0.5970833885203491
INTU,0.7225637807942306,0.04671135573717553,0.7092123304395647,0.731347765679782,0.35342449026352335,0.43201038368937134,0.14146345304372154,0.01781115373042974,-0.10715192962017217,0.5634359043592693,-0.49731287058699997,-0.25387060760801916,0.05862616977550336,0.1533839206214019,-0.2140174541431064,-0.010490876718916659,-0.2517496629350134,-0.3367168978731259,0.6790205332472005,0.3019498473553878,0.33710986259480497,0.4722945605778268,0.6993069456193963,1.0,-0.021259756343775985,-0.22410775933912944,0.582491272839232,-0.053870543039668185,-0.06027649656563266,0.6877721929764232,0.7573400725246063,0.13173908051831718,0.30003696127232876,0.4119386180483448,-0.04413142925719062,-0.21732161458920102,0.001223857894238655,0.681196822616816,0.39899383903572694,0.6493851405806568
MCHP,-0.15461575651543272,0.6403492670383917,-0.5553575128113488,-0.12288518793705816,0.29958899364772684,-0.09544767257327605,0.9175095851961114,0.6892300579234745,0.5787045278224716,-0.26377544780377216,0.7487996789685454,0.8059651717537252,0.23274168287503344,0.7583496377834297,0.5786873530461594,0.8540605856471106,0.6564417177916048,0.6764584409907637,-0.00040090857249357236,0.690035387013307,0.6598485876917269,0.3293920446540721,-0.20071791534570838,-0.021259756343775985,1.0,0.7551894586928518,-0.4177409528501886,0.7866324667641098,0.2627024789402043,-0.13330537737507428,-0.14953476132878937,0.6631188611212593,-0.25541815430915243,0.5600137782680877,0.9134052270054955,0.7187462859167651,0.7871689972244573,0.16492917785032984,-0.5589750511983763,-0.1791023483716882
FLIR,-0.336393533531891,0.42459646806672113,-0.6618922403739113,-0.2799818360563352,0.201723216968884,-0.44404379337205774,0.717821765112955,0.8260563022002879,0.652321485156207,-0.050603526982353195,0.7845403869958036,0.73422322579988,-0.008298495461194027,0.46882721052146814,0.7486655576615422,0.8193415083222978,0.5910772539246115,0.7195381981339115,0.07590707937450761,0.6715320969084209,0.673995902950564,0.3711694071486351,-0.3734107715512371,-0.22410775933912946,0.7551894586928518,1.0,-0.6478398037364302,0.8339719767820515,0.07609045019899233,-0.2923697132619296,-0.2807401691363517,0.7052901499220342,-0.6276211997479155,0.6191437773725474,0.6363110437548805,0.8023804481759089,0.8737526461059894,0.026095775457542165,-0.432792504470431,-0.06694000560302926
IT,0.81938347475523,-0.11496339118009731,0.8197303558738088,0.7811206775465426,0.2354979139623055,0.704796761745764,-0.2676469724605643,-0.4545382281502612,-0.5764109753055752,0.35802416512355884,-0.8006799665989387,-0.5975685511149319,0.24457058726236658,-0.039785361421627176,-0.7569037754118093,-0.4143846703883205,-0.5327717939262482,-0.6819567931564144,0.36639365367386045,-0.202517330105404,-0.14024138997147845,0.2340848146829632,0.8005780180739744,0.582491272839232,-0.4177409528501886,-0.6478398037364302,1.0,-0.3935666547894027,0.06204328057114566,0.7120108121831961,0.7783485023791358,-0.3344356969193791,0.6900258285409342,-0.18911695398002254,-0.3342803084913377,-0.55069532500158,-0.44463666425928744,0.46950747226389805,0.3789478029761878,0.5171257199497618
NTAP,-0.133652240514556,0.6619434601664491,-0.4979340318721243,-0.05382719102817401,0.40068810549858774,-0.16347070294108712,0.8141143912207989,0.8218462376331381,0.6241439800854802,0.04539511100168406,0.6744070084733192,0.7592174688693903,0.20731785523654528,0.654437003417796,0.6456999183027271,0.8588623492688796,0.6338210709076539,0.7207805124953304,0.24851219934578575,0.8069973394378444,0.7749342189345514,0.622651787099873,-0.1337603942846446,-0.053870543039668185,0.7866324667641098,0.8339719767820515,-0.3935666547894028,1.0,0.32327915676339447,-0.1093975995223027,-0.07715590467996897,0.7842150202270532,-0.41680475004449585,0.6804007123349295,0.7098164501630118,0.8278020193442588,0.8663703887290849,0.1973456129255424,-0.2898339991009506,0.14465021054197852
CTXS,-0.1364086004415667,0.7511808347779545,-0.180728607753193,-0.1567028829052572,0.5936275970546707,0.45649472921147716,0.2883046678483075,-0.026373476989513332,0.2904628148711632,-0.21782362619888243,0.316608636448154,0.420838730768381,0.7514369126467801,0.5051449577842632,0.13285255394848733,0.20085789530797118,0.6112645232786107,0.5262682831012215,-0.021279961967829303,0.03647286385889578,0.029761073880738634,0.17162630315861177,-0.13881855576952168,-0.06027649656563266,0.2627024789402043,0.07609045019899234,0.06204328057114566,0.32327915676339447,1.0,-0.0553161471277808,-0.13904911156517544,0.35039203473284125,0.3849695893081838,-0.08675324775077341,0.2596736935177256,0.4703903693801892,-0.023022495247267558,-0.16267952689272389,0.02591357138040298,0.10514574246799184
ANSS,0.7519656525865241,0.02616539840473313,0.7026047179804757,0.8507351351807724,0.4120650804000766,0.5301105347418462,0.061886965488188034,-0.11245207781768823,-0.18306101742807582,0.6157673717936809,-0.5940956207152157,-0.32785459344060985,0.04096454617529757,0.016653347930822654,-0.4522465125227716,-0.21131543213416348,-0.43265143270761997,-0.5182566431057025,0.591878893638414,0.2089347794428617,0.2522361479828088,0.45667232504399213,0.833709954857274,0.6877721929764231,-0.13330537737507428,-0.2923697132619296,0.712010812183196,-0.1093975995223027,-0.0553161471277808,1.0,0.7801908106817487,-0.09141474380442188,0.48927219918952797,0.2889559496003996,-0.15043469228612896,-0.23282113629362552,-0.0732321549866658,0.7714457531292203,0.23551545605963864,0.6380491699328796
APH,0.8880944988751621,-0.07107101514209295,0.7783749772956396,0.9040364213850659,0.23777451668044378,0.45151032349119974,0.03716113141954824,-0.03329264091987989,-0.38906338210288594,0.6102362673476746,-0.6660291459790356,-0.4661312732223885,0.0835120577030084,0.1428690197394844,-0.42952220930068186,-0.1277684354949351,-0.45537839204292363,-0.5655307043698917,0.6909269788678782,0.21328451998603853,0.2869397504336201,0.5256149819080038,0.8509566367854224,0.7573400725246064,-0.14953476132878935,-0.2807401691363517,0.7783485023791358,-0.07715590467996898,-0.13904911156517544,0.7801908106817488,1.0,-0.013187658007973684,0.3483898059057987,0.24913065158207148,-0.14738443236106885,-0.37035493179070283,-0.002405648983824859,0.7242458710255417,0.3626295325724872,0.6651298649384577
ADSK,-0.11120064943807678,0.6410348720787337,-0.3173218729594968,-0.05839123284068629,0.47733615861746187,-0.1335743364694518,0.7516673989963409,0.7491591603844008,0.5651417818973453,0.16044519992674386,0.5821628407175162,0.5947942924574887,0.2190721773199051,0.6574438491876612,0.7042757492497943,0.7503653449075205,0.7255393042399094,0.7141590998908093,0.4193959278772336,0.6936954148923816,0.7379832759352462,0.589628761200354,-0.1744352266403784,0.13173908051831718,0.6631188611212593,0.7052901499220343,-0.3344356969193791,0.7842150202270531,0.35039203473284125,-0.09141474380442188,-0.013187658007973684,1.0,-0.3264127094948509,0.6471456658904533,0.568652795787959,0.742335626695905,0.7104776018392117,0.17917485167175579,-0.0367398537582873,0.2334870900440109
VRSN,0.39305827536536986,0.16468302007998822,0.46270762467495447,0.3679611055927008,0.42570394322680244,0.8314468282967766,-0.2322408878354332,-0.6457828998121706,-0.3386961997019292,-0.046358353401670285,-0.47134314287409196,-0.354338313781616,0.44060831718732424,0.057712700849361157,-0.6740162962293187,-0.4910978779393248,-0.1672570519345047,-0.3568528721990968,-0.04804984471547862,-0.427155786116153,-0.3873557842254702,-0.04488537306563322,0.4286392071071202,0.30003696127232876,-0.25541815430915243,-0.6276211997479155,0.6900258285409342,-0.41680475004449585,0.3849695893081838,0.48927219918952797,0.3483898059057987,-0.32641270949485085,1.0,-0.37916047532138986,-0.16910060367089544,-0.29395704090489594,-0.5775477923595407,0.16625385546463414,0.05518583573457316,0.17797069515583844
